Date	Town	State/Province	Latitude	Longitude	Number	Image
76	12/17/23	Tucson	AZ	32.2	-110.8	1	
77	12/17/23	Mission	TX	26.2	-98.3	10	
78	12/17/23	Tucson	AZ	32.2	-111	1	
79	12/17/23	Ramona	CA	33	-116.8	1	
80	12/17/23	Palmarejo	PR	18.3	-66.3	1	
81	12/17/23	Rockledge	FL	28.3	-80.7	3	
82	12/16/23	Mansfield	TX	32.6	-97.1	1	
83	12/16/23	Palmarejo	PR	18.3	-66.3	2	
84	12/16/23	Ramona	CA	33	-116.8	5	
85	12/16/23	Tyler	TX	32.3	-95.3	1	
86	12/16/23	Savannah	GA	32	-81.1	1	
87	12/15/23	Port Charlotte	FL	27	-82.1	1	
88	12/15/23	Corpus Christi	TX	27.7	-97.4	1	
89	12/15/23	Francitas	TX	28.8	-96.3	1	
90	12/15/23	Phoenix	AZ	33.5	-112	3	
91	12/15/23	Bluffton	SC	32.2	-80.9	4	
92	12/15/23	Charleston	SC	32.7	-80	2	
93	12/15/23	Palmarejo	PR	18.3	-66.3	1	
94	12/15/23	Ramona	CA	33	-116.8	3	
95	12/15/23	Los Angeles	CA	34.1	-118.3	2	
96	12/15/23	Los Angeles	CA	34.1	-118.3	1	
97	12/14/23	Scurry	TX	32.5	-96.4	1	
98	12/14/23	Scurry	TX	32.5	-96.4	1	
99	12/14/23	Scurry	TX	32.5	-96.4	1	
100	12/14/23	Scurry	TX	32.5	-96.4	1	
101	12/14/23	Missouri City	TX	29.6	-95.6	4	
102	12/14/23	Ramona	CA	33	-116.8	4	
103	12/14/23	Tivoli	TX	28.5	-96.8	1	
104	12/13/23	Baywood-Los Osos	CA	35.3	-120.8	2	
105	12/13/23	Crawfordville	FL	30.2	-84.4	1	
106	12/13/23	Crawfordville	FL	30.2	-84.4	1	
107	12/13/23	Ramona	CA	33	-116.8	2	
108	12/12/23	Corpus Christi	TX	27.7	-97.4	1	
109	12/12/23	El Segundo	CA	33.9	-118.4	2	
110	12/12/23	El Segundo	CA	33.9	-118.4	2	
111	12/12/23	Baywood-Los Osos	CA	35.3	-120.8	1	
112	12/12/23	Daphne	AL	30.6	-87.8	2	
113	12/12/23	Glen Rose	TX	32.2	-97.8	2	
114	12/11/23	Coxen Hole	Bay Islands Department	16.3	-86.5	1	
115	12/11/23	Coxen Hole	Bay Islands Department	16.3	-86.5	2	
116	12/11/23	Daphne	AL	30.6	-87.8	1	
117	12/11/23	Berkeley	CA	37.9	-122.3	2	
118	12/11/23	Hutto	TX	30.5	-97.6	1	
119	12/11/23	St Simons Island	GA	31.1	-81.4	1	
120	12/11/23	Canyon Lake	TX	29.8	-98.2	2	
121	12/11/23	Ramona	CA	33	-116.8	4	
122	12/11/23	New Ringgold	PA	40.6	-76	0	
123	12/10/23	Beaufort	SC	32.4	-80.7	1	
124	12/10/23	Wellington	FL	26.7	-80.3	2	
125	12/10/23	Wellington	FL	26.7	-80.3	2	
126	12/10/23	Bryceville	FL	30.4	-82	2	
127	12/10/23	Bryan	TX	30.7	-96.3	1	
128	12/10/23	Skidaway Island	GA	32	-81	2	
129	12/10/23	Savannah	GA	32	-81	3	
130	12/10/23	Ramona	CA	33	-116.8	4	
131	12/09/23	Phoenix	AZ	33.5	-112	2	
132	12/09/23	Corpus Christi	TX	27.7	-97.4	1	
133	12/09/23	Francitas	TX	28.8	-96.3	6	
134	12/09/23	Baywood-Los Osos	CA	35.3	-120.8	1	
135	12/09/23	Savannah	GA	32	-81.2	1	
136	12/09/23	Cibolo	TX	29.6	-98.2	2	
137	12/09/23	Palm Bay	FL	28	-80.7	2	
138	12/09/23	Richmond Hill	GA	31.8	-81.2	1	
139	12/09/23	Hinesville	GA	31.9	-81.6	1	
140	12/08/23	Savannah	GA	32.1	-81.1	1	
141	12/08/23	Mansfield	TX	32.6	-97.1	1	
142	12/08/23	West Palm Beach	FL	26.8	-80	1	
143	12/08/23	Jacksonville	FL	30.2	-81.6	1	
144	12/08/23	St Marys	GA	30.7	-81.6	1	
145	12/08/23	Ramona	CA	33	-116.8	2	
146	12/07/23	Francitas	TX	28.8	-96.3	4	
147	12/07/23	Palmarejo	PR	18.3	-66.3	3	
148	12/07/23	Hutto	TX	30.5	-97.6	3	
149	12/07/23	Ramona	CA	33	-116.8	2	
150	12/07/23	New Ringgold	PA	40.6	-76	0	
151	12/06/23	Palmarejo	PR	18.3	-66.3	3	
152	12/06/23	El Segundo	CA	33.9	-118.4	4	
153	12/06/23	Hutto	TX	30.5	-97.6	3	
154	12/06/23	Ramona	CA	33	-116.8	4	
155	12/06/23	Round Rock	TX	30.5	-97.6	1	
156	12/06/23	New Ringgold	PA	40.6	-76	0	
157	12/05/23	Fort Walton Beach	FL	30.4	-86.6	1	
158	12/05/23	Murrells Inlet	SC	33.6	-79.1	1	
159	12/05/23	Fort Walton Beach	FL	30.4	-86.6	1	
160	12/05/23	Fort Walton Beach	FL	30.4	-86.6	1	
161	12/05/23	Round Rock	TX	30.5	-97.7	1	
162	12/05/23	San Antonio	TX	29.5	-98.6	1	
163	12/05/23	Palmarejo	PR	18.3	-66.3	4	
164	12/05/23	Hutto	TX	30.5	-97.6	1	
165	12/05/23	Ramona	CA	33	-116.8	4	
166	12/05/23	New Ringgold	PA	40.6	-76	0	
167	12/05/23	Michiana	MI	41.8	-86.8	1	
168	12/04/23	Palmarejo	PR	18.3	-66.3	4	
169	12/04/23	Glen Rose	TX	32.2	-97.8	1	
170	12/04/23	Cedar Park	TX	30.5	-97.8	1	
171	12/04/23	Austin	TX	30.3	-97.7	1	
172	12/04/23	Kenner	LA	30	-90.3	1	
173	12/04/23	Manor	TX	30.3	-97.6	1	
174	12/04/23	Georgetown	TX	30.6	-97.7	4	
175	12/04/23	Seneca	SC	34.7	-83	1	
176	12/04/23	Hutto	TX	30.5	-97.6	1	
177	12/03/23	Francitas	TX	28.8	-96.3	5	
178	12/03/23	West Palm Beach	FL	26.8	-80	1	
179	12/03/23	Brownsville	TX	26	-97.5	1	
180	12/03/23	Palmarejo	PR	18.3	-66.3	3	
181	12/03/23	Pompano Beach	FL	26.2	-80.1	1	
182	12/03/23	San Benito	TX	26.1	-97.6	1	
183	12/03/23	Tucson	AZ	32.2	-110.9	1	
184	12/02/23	Mansfield	TX	32.6	-97.1	1	
185	12/02/23	Hutto	TX	30.5	-97.6	3	
186	12/02/23	Mansfield	TX	32.6	-97.1	2	
187	12/02/23	Naranjito	PR	18.3	-66.3	1	
188	12/02/23	Palmarejo	PR	18.3	-66.3	3	
189	12/02/23	Baton Rouge	LA	30.4	-91	1	
190	12/02/23	Pollok	TX	31.4	-94.9	1	
191	12/02/23	Port O'Connor	TX	28.3	-96.5	1	
192	12/02/23	Boerne	TX	29.8	-98.7	1	
193	12/02/23	Austin	TX	30.3	-97.7	1	
194	12/02/23	Round Rock	TX	30.5	-97.7	3	
195	12/02/23	Wilmington	NC	34.1	-77.9	1	
196	12/02/23	Middleburg	FL	30.1	-81.8	1	
197	12/02/23	Statesboro	GA	32.5	-81.7	2	
198	12/02/23	Hutto	TX	30.5	-97.6	2	
199	12/01/23	Summerfield	FL	29	-82	5	
200	12/01/23	Blanco	TX	30.1	-98.4	1	
201	12/01/23	Francitas	TX	28.8	-96.3	5	
202	12/01/23	Cypress	TX	30	-95.7	1	
203	12/01/23	Mobile	AL	30.7	-88	1	
204	12/01/23	Palmarejo	PR	18.3	-66.3	2	
205	12/01/23	Scottsdale	AZ	33.6	-111.9	5	
206	12/01/23	Round Rock	TX	30.5	-97.7	3	
207	12/01/23	Vero Beach	FL	27.7	-80.5	2	
208	12/01/23	Hutto	TX	30.5	-97.6	3	
209	11/30/23	North Topsail Beach	NC	34.5	-77.3	1	
210	11/30/23	Rockport	TX	28	-97.1	1	
211	11/30/23	Orchid	FL	27.8	-80.4	0	
212	11/30/23	Phoenix	AZ	33.4	-112.1	1	
213	11/30/23	St. Petersburg	FL	27.8	-82.7	2	
214	11/30/23	Fernandina Beach	FL	30.7	-81.4	1	
215	11/30/23	Melbourne	FL	28.2	-80.6	1	
216	11/30/23	Hutto	TX	30.5	-97.6	1	
217	11/29/23	Lillian	AL	30.4	-87.5	1	
218	11/29/23	Pensacola	FL	30.4	-87.2	1	
219	11/29/23	Palmarejo	PR	18.3	-66.3	1	
220	11/29/23	Rockport	TX	28	-97.1	2	
221	11/29/23	Rockport	TX	28	-97.1	2	
222	11/29/23	DeBary	FL	28.9	-81.3	1	
223	11/29/23	North Augusta	SC	33.7	-82	1	
224	11/29/23	New Ringgold	PA	40.6	-76	0	
225	11/28/23	Palmarejo	PR	18.3	-66.3	3	
226	11/28/23	Francitas	TX	28.8	-96.3	5	
227	11/28/23	Coral Gables	FL	25.8	-80.3	1	
228	11/28/23	Palm Springs	CA	33.8	-116.5	12	
229	11/28/23	Mesa	AZ	33.4	-111.7	1	
230	11/28/23	Tempe	AZ	33.4	-111.9	2	
231	11/28/23	El Segundo	CA	33.9	-118.4	1	
232	11/28/23	Hutto	TX	30.5	-97.6	2	
233	11/28/23	Hutto	TX	30.5	-97.6	2	
234	11/28/23	North Fort Myers	FL	26.7	-81.9	1	
235	11/28/23	New Ringgold	PA	40.6	-76	0	
236	11/28/23	Plano	TX	33	-96.7	2	
237	11/28/23	Odenton	MD	39.1	-76.7	2	
238	11/27/23	Ramona	CA	33	-116.8	1	
239	11/27/23	Wellington	FL	26.7	-80.3	1	
240	11/27/23	Murrells Inlet	SC	33.6	-79.1	1	
241	11/27/23	Berkeley	CA	37.9	-122.2	2	
242	11/27/23	St. Augustine	FL	29.8	-81.3	2	
243	11/27/23	St. Augustine	FL	29.8	-81.3	1	
244	11/27/23	Ramona	CA	33	-116.8	5	
245	11/27/23	Palmarejo	PR	18.3	-66.3	1	
246	11/27/23	Charleston	SC	32.7	-80	2	
247	11/27/23	Tomball	TX	30	-95.6	1	
248	11/26/23	Litchfield Park	AZ	33.5	-112.5	2	
249	11/26/23	Palmarejo	PR	18.3	-66.3	1	
250	11/26/23	Miami	FL	25.8	-80.3	1	
251	11/26/23	Ramona	CA	33	-116.8	1	
252	11/26/23	San Leandro	CA	37.7	-122.2	1	
253	11/26/23	North Augusta	SC	33.5	-82	1	
254	11/25/23	Palmarejo	PR	18.3	-66.3	1	
255	11/25/23	Satellite Beach	FL	28.2	-80.6	1	
256	11/25/23	Fort Myers Beach	FL	26.4	-81.9	2	
257	11/25/23	Santa Cruz	CA	37	-122	7	
258	11/25/23	Granbury	TX	32.5	-97.8	1	
259	11/25/23	Charleston	SC	32.7	-80	2	
260	11/25/23	Ramona	CA	33	-116.8	4	
261	11/25/23	Eastpoint	FL	29.7	-84.9	1	
262	11/25/23	Orange Beach	AL	30.3	-87.6	1	
263	11/25/23	Pigeon Forge	TN	35.8	-83.6	1	
264	11/25/23	Orange Park	FL	30.1	-81.7	1	
265	11/25/23	New Ringgold	PA	40.6	-76	0	
266	11/24/23	Francitas	TX	28.8	-96.3	13	
267	11/24/23	Palmarejo	PR	18.3	-66.3	1	
268	11/24/23	Fullerton	CA	33.9	-117.9	1	
269	11/24/23	Wimberley	TX	30	-98.1	1	
270	11/24/23	El Sobrante	CA	38	-122.3	1	
271	11/24/23	Ramona	CA	33	-116.8	1	
272	11/24/23	Montgomery	TX	30.4	-95.8	1	
273	11/24/23	Soperton	GA	32.4	-82.6	1	
274	11/24/23	New Ringgold	PA	40.6	-76	0	
275	11/23/23	Francitas	TX	28.8	-96.3	10	
276	11/23/23	Howe	OK	35	-94.6	1	
277	11/23/23	Palmarejo	PR	18.3	-66.3	1	
278	11/23/23	Charleston	SC	32.7	-80	10	
279	11/23/23	Ramona	CA	33	-116.8	5	
280	11/23/23	Hutto	TX	30.5	-97.6	4	
281	11/22/23	Slidell	LA	30.3	-89.8	1	
282	11/22/23	New Orleans	LA	30	-90.1	1	
283	11/22/23	Phoenix	AZ	33.5	-112	2	
284	11/22/23	Mansfield	TX	32.6	-97.1	3	
285	11/22/23	Summerfield	FL	29	-82	7	
286	11/22/23	Laguna Niguel	CA	33.6	-117.7	1	
287	11/22/23	Palmarejo	PR	18.3	-66.3	1	
288	11/22/23	Santa Rosa Beach	FL	30.4	-86.3	2	
289	11/22/23	Ramona	CA	33	-116.8	6	
290	11/22/23	Hutto	TX	30.5	-97.6	2	
291	11/22/23	Sun City	AZ	33.7	-112.3	1	
292	11/22/23	New Ringgold	PA	40.6	-76	0	
293	11/21/23	Delray Beach	FL	26.5	-80.2	1	
294	11/21/23	Loxahatchee	FL	26.7	-80.3	3	
295	11/21/23	El Segundo	CA	33.9	-118.4	2	
296	11/21/23	Slidell	LA	30.3	-89.8	1	
297	11/21/23	Cathedral City	CA	33.8	-116.5	1	
298	11/21/23	Mt Dora	FL	28.8	-81.7	1	
299	11/21/23	Litchfield Park	AZ	33.5	-112.5	1	
300	11/21/23	Phoenix	AZ	33.5	-112.1	1	
301	11/21/23	Mesa	AZ	33.4	-111.7	2	
302	11/21/23	Palmarejo	PR	18.3	-66.3	1	
303	11/21/23	Ramona	CA	33	-116.8	5	
304	11/21/23	Hutto	TX	30.5	-97.6	2	
305	11/21/23	New Ringgold	PA	40.6	-76	0	
306	11/20/23	Pass Christian	MS	30.3	-89.2	7	
307	11/20/23	West Palm Beach	FL	26.8	-80	1	
308	11/20/23	Francitas	TX	28.8	-96.3	17	
309	11/20/23	League City	TX	29.5	-95.1	2	
310	11/20/23	Murrells Inlet	SC	33.6	-79.1	4	
311	11/20/23	New Orleans	LA	29.9	-90.1	1	
312	11/20/23	Coral Gables	FL	25.7	-80.3	5	
313	11/20/23	Fort Worth	TX	32.8	-97.3	1	
314	11/20/23	Denton	TX	33.2	-97.1	2	
315	11/20/23	Palmarejo	PR	18.3	-66.3	1	
316	11/20/23	Ramona	CA	33	-116.8	3	
317	11/20/23	Mcveytown	PA	40.5	-77.8	0	
318	11/20/23	New Ringgold	PA	40.6	-76	0	
319	11/19/23	Francitas	TX	28.8	-96.3	8	
320	11/19/23	Waynesville	NC	35.5	-83	1	
321	11/19/23	Phoenix	AZ	33.5	-112	1	
322	11/19/23	Palmarejo	PR	18.3	-66.3	2	
323	11/19/23	Destin	FL	30.4	-86.4	2	
324	11/19/23	Ramona	CA	33	-116.8	1	
325	11/19/23	Mcveytown	PA	40.5	-77.8	0	
326	11/18/23	Lake Jackson	TX	29.1	-95.4	1	
327	11/18/23	Palmarejo	PR	18.3	-66.3	2	
328	11/18/23	Francitas	TX	28.8	-96.3	9	
329	11/18/23	Dallas	TX	32.8	-96.8	1	
330	11/18/23	McKinney	TX	33.2	-96.7	1	
331	11/18/23	Houston	TX	29.8	-95.4	1	
332	11/18/23	Phoenix	AZ	33.5	-112	1	
333	11/18/23	Miami	FL	25.8	-80.2	1	
334	11/18/23	Cedar Creek	TX	30.1	-97.5	3	
335	11/18/23	Murrells Inlet	SC	33.6	-79.1	1	
336	11/18/23	Morgan City	LA	29.7	-91.2	5	
337	11/18/23	Mcveytown	PA	40.5	-77.8	0	
338	11/18/23	New Ringgold	PA	40.6	-76	0	
339	11/17/23	Moulay Larbi	SaÃ¯da Province	34.5	0	4	
340	11/17/23	Cherokee	TX	31	-98.7	1	
341	11/17/23	Savannah	GA	31.9	-81.1	2	
342	11/17/23	Moulay Larbi	SaÃ¯da Province	34.5	0	4	
343	11/17/23	Patterson	LA	29.7	-91.3	1	
344	11/17/23	Bryan	TX	30.6	-96.4	2	
345	11/17/23	Francitas	TX	28.8	-96.3	7	
346	11/17/23	Stagecoach	TX	30.1	-95.7	1	
347	11/17/23	Houston	TX	29.8	-95.4	1	
348	11/17/23	Stagecoach	TX	30.1	-95.7	1	
349	11/17/23	San Antonio	TX	29.5	-98.6	10	
350	11/17/23	Moulay Larbi	SaÃ¯da Province	34.5	0	4	
351	11/17/23	Boerne	TX	29.8	-98.7	10	
352	11/17/23	Moulay Larbi	SaÃ¯da Province	34.5	0	4	
353	11/17/23	West Palm Beach	FL	26.8	-80	1	
354	11/17/23	Webster	TX	29.6	-95.1	1	
355	11/17/23	Lewes	DE	38.7	-75.1	1	
356	11/17/23	Orange	TX	30.1	-93.9	3	
357	11/17/23	Palmarejo	PR	18.3	-66.3	1	
358	11/17/23	Shingle Springs	CA	38.6	-121	1	
359	11/17/23	Vero Beach	FL	27.8	-80.4	2	
360	11/17/23	Moulay Larbi	SaÃ¯da Province	34.5	0	4	
361	11/17/23	Francitas	TX	28.8	-96.3	7	
362	11/17/23	Tucson Estates	AZ	32.2	-111.2	1	
363	11/17/23	North Topsail Beach	NC	34.5	-77.3	4	
364	11/17/23	Melbourne	FL	28.2	-80.6	1	
365	11/17/23	Lewes	DE	38.7	-75.1	1	
366	11/17/23	Lewes	DE	38.7	-75.1	1	
367	11/17/23	Dalton	GA	34.7	-85	2	
368	11/17/23	Media	PA	39.9	-75.4	0	
369	11/17/23	New Ringgold	PA	40.6	-76	0	
370	11/16/23	Francitas	TX	28.8	-96.3	1	
371	11/16/23	Friendsville	TN	35.8	-84.1	1	
372	11/16/23	Palmarejo	PR	18.3	-66.3	2	
373	11/16/23	Prosperity	SC	34.1	-81.5	2	
374	11/16/23	Granbury	TX	32.5	-97.8	1	
375	11/16/23	Boerne	TX	29.8	-98.7	12	
376	11/16/23	Canyon Lake	TX	29.9	-98.2	15	
377	11/16/23	Mcveytown	PA	40.5	-77.8	0	
378	11/16/23	Media	PA	39.9	-75.4	0	
379	11/15/23	Austin	TX	30.4	-97.7	10	
380	11/15/23	Francitas	TX	28.8	-96.3	4	
381	11/15/23	Austin	TX	30.4	-97.7	10	
382	11/15/23	Austin	TX	30.4	-97.7	10	
383	11/15/23	Austin	TX	30.4	-97.7	10	
384	11/15/23			0	-97.4	1	
385	11/15/23	Palmarejo	PR	18.3	-66.3	1	
386	11/15/23	Fraser	MI	42.5	-82.9	1	
387	11/15/23	Matagorda	TX	28.6	-96	125	
388	11/15/23	Cibolo	TX	29.6	-98.2	10	
389	11/15/23	Forest Park	OH	39.3	-84.5	1	
390	11/15/23	Boerne	TX	29.8	-98.7	9	
391	11/15/23	Tucson	AZ	32.2	-111.2	1	
392	11/15/23	Hutto	TX	30.5	-97.6	1	
393	11/15/23	Perry	GA	32.4	-83.6	3	
394	11/15/23	Mcveytown	PA	40.5	-77.8	0	
395	11/15/23	Media	PA	39.9	-75.4	0	
396	11/15/23	New Ringgold	PA	40.6	-76	0	
397	11/14/23	San Antonio	TX	29.6	-98.6	1	
398	11/14/23	El Segundo	CA	33.9	-118.4	2	
399	11/14/23	Francitas	TX	28.8	-96.3	4	
400	11/14/23	Hutto	TX	30.5	-97.6	1	
401	11/14/23	Austin	TX	30.3	-97.7	2	
402	11/14/23	Fort Worth	TX	32.8	-97.3	1	
403	11/14/23	Mt Pleasant	SC	32.9	-79.8	4	
404	11/14/23	North Topsail Beach	NC	34.6	-77.3	1	
405	11/14/23	Fort Worth	TX	32.8	-97.3	1	
406	11/14/23	San Diego	CA	32.9	-117.2	1	
407	11/14/23	Boerne	TX	29.8	-98.7	11	
408	11/14/23	Ramona	CA	33	-116.9	5	
409	11/14/23	Flower Mound	TX	33	-97.1	1	
410	11/14/23	San Diego	CA	32.9	-117.2	1	
411	11/14/23	Media	PA	39.9	-75.4	0	
412	11/14/23	New Ringgold	PA	40.6	-76	0	
413	11/14/23	Palmarejo	PR	18.3	-66.3	1	
414	11/14/23	Austin	TX	30.3	-97.8	1	
415	11/14/23	San Antonio	TX	29.5	-98.5	1	
416	11/14/23	Leander	TX	30.6	-97.8	4	
417	11/14/23	Phoenix	AZ	33.5	-111.9	1	
418	11/14/23	Killeen	TX	31.1	-97.7	3	
419	11/14/23	San Antonio	TX	29.5	-98.5	20	
420	11/13/23	Queen Creek	AZ	33.2	-111.6	1	
421	11/13/23	Salisbury	NC	35.6	-80.5	1	
422	11/13/23	Austin	TX	30.4	-97.7	10	
423	11/13/23	Austin	TX	30.4	-97.7	10	
424	11/13/23	Rocksprings	TX	30	-100.2	1	
425	11/13/23	Elizabethton	TN	36.3	-82.2	2	
426	11/13/23	Elizabethton	TN	36.3	-82.2	2	
427	11/13/23	North Topsail Beach	NC	34.5	-77.3	1	
428	11/13/23	North Topsail Beach	NC	34.5	-77.3	1	
429	11/13/23	North Topsail Beach	NC	34.5	-77.3	1	
430	11/13/23	North Topsail Beach	NC	34.6	-77.3	1	
431	11/13/23	North Topsail Beach	NC	34.6	-77.3	1	
432	11/13/23	Oldsmar	FL	28	-82.7	1	
433	11/13/23	Dundalk	MD	39.3	-76.5	1	
434	11/13/23	Boerne	TX	29.8	-98.7	9	
435	11/13/23	Dallas	TX	32.9	-96.7	2	
436	11/13/23	Maryville	TN	35.8	-83.9	1	
437	11/13/23	Ramona	CA	33	-116.8	3	
438	11/13/23	Rockaway Township	NJ	40.9	-74.5	0	
439	11/13/23	Mcveytown	PA	40.5	-77.8	0	
440	11/13/23	Media	PA	39.9	-75.4	0	
441	11/13/23	New Ringgold	PA	40.6	-76	0	
442	11/12/23	Dallas	TX	32.9	-96.7	2	
443	11/12/23	La Mesa	CA	32.8	-117	1	
444	11/12/23	Ramona	CA	33	-116.8	2	
445	11/12/23	Mcveytown	PA	40.5	-77.8	0	
446	11/12/23	New Ringgold	PA	40.6	-76	0	
447	11/12/23	Melbourne	FL	28.2	-80.6	1	
448	11/12/23	Boca Raton	FL	26.3	-80.1	1	
449	11/12/23	Oklahoma City	OK	35.5	-97.5	1	
450	11/12/23	Broussard	LA	30.1	-91.9	2	
451	11/12/23	Dallas	TX	32.8	-96.7	2	
452	11/12/23	Panama City Beach	FL	30.3	-86	1	
453	11/12/23	Ozark	AR	35.4	-93.8	1	
454	11/11/23	Farmington	MO	37.7	-90.4	1	
455	11/11/23	Thousand Oaks	CA	34.2	-118.9	1	
456	11/11/23	Rowlett	TX	32.9	-96.6	3	
457	11/11/23	San Diego	CA	32.7	-117.2	3	
458	11/11/23	Fire Island	NY	40.6	-73.2	1	
459	11/11/23	Goodyear	AZ	33.5	-112.5	2	
460	11/11/23	Dallas	TX	32.9	-96.7	2	
461	11/11/23	Mcveytown	PA	40.5	-77.8	0	
462	11/11/23	Media	PA	39.9	-75.4	0	
463	11/10/23	Tucson	AZ	32.3	-111.1	1	
464	11/10/23	Navarre	FL	30.4	-86.9	3	
465	11/10/23	Mcveytown	PA	40.5	-77.8	0	
466	11/10/23	Media	PA	39.9	-75.4	0	
467	11/10/23	New Ringgold	PA	40.6	-76	0	
468	11/10/23	Youngs Creek	KY	36.8	-84.2	1	
469	11/10/23	West Palm Beach	FL	26.8	-80	1	
470	11/10/23	Buckhannon	WV	39	-80.2	1	
471	11/10/23	Leamington	ON	41.9	-82.5	4	
472	11/09/23	Dublin	TX	32.1	-98.4	1	
473	11/09/23	Miami	FL	25.8	-80.2	1	
474	11/09/23	Wellington	FL	26.7	-80.3	1	
475	11/09/23	Wellington	FL	26.7	-80.3	1	
476	11/09/23	Merrick	NY	40.7	-73.6	1	
477	11/09/23	Murrells Inlet	SC	33.5	-79	1	
478	11/09/23	Merrick	NY	40.7	-73.6	1	
479	11/09/23	Miami	FL	25.8	-80.2	1	
480	11/09/23	Tucson	AZ	32.2	-110.8	1	
481	11/09/23	Brigantine	NJ	39.4	-74.4	2	
482	11/09/23	Baywood-Los Osos	CA	35.3	-120.8	1	
483	11/09/23	Baywood-Los Osos	CA	35.3	-120.8	1	
484	11/09/23	Montgomery	TX	30.4	-95.8	1	
