City,State/Province,County,Date,Latitude,Longitude,year,month,day,season,Count
Pismo Beach,CA,SAN LUIS OBISPO,2016-01-01,35.2,-120.7,2016,1,1,Winter,56146
Houston,TX,FORT BEND,2016-01-01,29.8,-95.4,2016,1,1,Winter,2
Santa Cruz,CA,SANTA CRUZ,2016-01-01,37.1,-122.2,2016,1,1,Winter,48000
Lake placid,FL,HIGHLANDS,2016-01-01,27.3,-81.4,2016,1,1,Winter,3
Huntington Beach,CA,ORANGE,2016-01-01,33.7,-118.0,2016,1,1,Winter,800
San Leandro,CA,ALAMEDA,2016-01-01,37.7,-122.2,2016,1,1,Winter,12864
Morro Bay,CA,SAN LUIS OBISPO,2016-01-01,35.4,-120.8,2016,1,1,Winter,13492
Winter Springs,FL,SEMINOLE,2016-01-01,28.7,-81.3,2016,1,1,Winter,9
Houston,TX,HARRIS,2016-01-01,29.8,-95.4,2016,1,1,Winter,86
Pacific Grove,CA,MONTEREY,2016-01-01,36.6,-121.9,2016,1,1,Winter,22944
PORT RICHEY,FL,PASCO,2016-01-01,28.4,-82.7,2016,1,1,Winter,10
Bolinas,CA,MARIN,2016-01-01,37.9,-122.7,2016,1,1,Winter,10200
Corolla,NC,CURRITUCK,2016-01-02,36.3,-75.8,2016,1,2,Winter,1
Mesa,AZ,MARICOPA,2016-01-02,33.4,-111.8,2016,1,2,Winter,1
Charleston,SC,CHARLESTON,2016-01-03,32.8,-79.9,2016,1,3,Winter,22
Windermere,FL,ORANGE,2016-01-03,28.5,-81.6,2016,1,3,Winter,2
Wickenburg,AZ,MARICOPA,2016-01-03,33.9,-112.7,2016,1,3,Winter,1
Charleston,SC,BERKELEY,2016-01-03,32.8,-79.9,2016,1,3,Winter,8
VICTORIA,TX,VICTORIA,2016-01-04,28.9,-97.0,2016,1,4,Winter,6
Satellite Beach,FL,BREVARD,2016-01-06,28.2,-80.6,2016,1,6,Winter,6
Savannah,GA,CHATHAM,2016-01-06,32.1,-81.1,2016,1,6,Winter,40
