Town,State/Province,County,Count,Latitude,Longitude,FIPS
abbeville,LA,vermilion,6,29.8,-92.2,
abilene,TX,taylor,77,32.5,-99.7,48441.0
abington,MA,plymouth,4,42.1,-71.0,25023.0
abita springs,LA,st. tammany,3,30.5,-89.9,
accord,NY,ulster,10,41.8,-74.2,36111.0
acushnet,MA,bristol,18,41.7,-70.9,25005.0
acworth,GA,cherokee,6,34.0,-84.7,13057.0
acworth,GA,cobb,12,34.0,-84.7,13067.0
ada,MI,kent,4,43.0,-85.5,26081.0
ada,OK,pontotoc,4,34.8,-96.8,40123.0
addison,TX,dallas,7,33.0,-96.8,48113.0
adel,IA,dallas,2,41.7,-94.1,19049.0
afton,MN,washington,12,44.9,-92.8,27163.0
aiken,SC,aiken,3,33.6,-81.7,45003.0
akron,OH,summit,189,41.0,-81.5,39153.0
akron,PA,lancaster,6,40.2,-76.2,42071.0
alamogordo,NM,otero,2,32.2,-107.7,35035.0
alanson,MI,emmet,2,45.5,-84.8,26047.0
albany,CA,alameda,3,37.9,-122.3,6001.0
albany,OH,athens,14,39.2,-82.2,39009.0
albany,VT,orleans,4,44.7,-72.3,50019.0
albuquerque,NM,bernalillo,165,35.1,-106.6,35001.0
alderson,WV,monroe,40,37.7,-80.7,54063.0
aledo,TX,parker,15,32.7,-97.6,48367.0
alexandria,KY,campbell,9,38.9,-84.4,21037.0
alexandria,MN,douglas,24,45.9,-95.4,27041.0
alexandria,VA,alexandria city,22,38.8,-77.1,51510.0
alexandria,VA,fairfax,20,38.8,-77.1,51059.0
algoma,WI,kewaunee,20,44.6,-87.5,55061.0
aliso viejo,CA,orange,4,33.6,-117.7,6059.0
allen,TX,collin,84,33.1,-96.6,48085.0
allenton,WI,washington,46,43.5,-88.4,55131.0
alma center,WI,jackson,11,44.5,-91.0,55053.0
alpharetta,GA,fulton,12,34.1,-84.3,13121.0
alpine,TX,brewster,40,29.8,-103.6,48043.0
alstead,NH,cheshire,4,43.1,-72.3,33005.0
altamonte springs,FL,seminole,3,28.7,-81.4,12117.0
alto,GA,habersham,3,34.5,-83.6,13137.0
alton,IL,madison,2,38.9,-90.1,17119.0
altoona,PA,blair,1,40.5,-78.4,42013.0
amado,AZ,santa cruz,1,31.6,-111.1,4023.0
amarillo,TX,potter,528,35.2,-101.8,48375.0
amarillo,TX,randall,264,35.2,-101.8,48381.0
ambler,PA,montgomery,5,40.2,-75.2,42091.0
amelia,OH,clermont,12,39.0,-84.2,39025.0
american falls,ID,power,210,42.8,-113.0,16077.0
ames,IA,story,18,42.1,-93.6,19169.0
amherst,VA,amherst,18,37.6,-79.1,
amherst,WI,portage,4,44.4,-89.3,55097.0
andover,KS,butler,16,37.7,-97.1,20015.0
ann arbor,MI,washtenaw,363,42.3,-83.8,26161.0
annandale,NJ,hunterdon,3,40.6,-74.9,34019.0
annandale,VA,fairfax,12,38.8,-77.2,51059.0
annapolis,MD,anne arundel,110,39.0,-76.6,24003.0
anoka,MN,anoka,45,45.3,-93.4,27003.0
ansonia,CT,new haven,1,41.3,-73.1,9009.0
antioch,IL,lake,24,42.5,-88.1,17097.0
anton chico,NM,guadalupe,3,35.1,-105.1,35019.0
apalachicola,FL,franklin,250,29.7,-85.0,12037.0
apex,NC,wake,2,35.7,-78.9,37183.0
appleton,WI,outagamie,15,44.3,-88.4,55087.0
appleton city,MO,st. clair,1,38.2,-94.0,29185.0
arcade,NY,wyoming,24,42.6,-78.4,36121.0
arivaca,AZ,pima,3,32.0,-110.8,4019.0
arkdale,WI,adams,3,44.1,-89.9,55001.0
arlington,MN,sibley,1,44.6,-94.1,27143.0
arlington,TX,tarrant,30,32.6,-97.2,48439.0
arlington,VA,arlington,119,38.9,-77.1,51013.0
arlington,VT,bennington,7,43.1,-73.2,50003.0
arlington heights,IL,cook,12,42.1,-88.0,17031.0
armada,MI,macomb,4,42.8,-82.9,26099.0
arnold,MD,anne arundel,5,39.0,-76.5,24003.0
arroyo grande,CA,san luis obispo,96,35.1,-120.4,6079.0
arvada,CO,jefferson,4,39.8,-105.1,8059.0
ashburn,VA,loudoun,48,39.0,-77.5,51107.0
asheboro,NC,randolph,26,35.6,-79.8,37151.0
asheville,NC,buncombe,225,35.6,-82.6,37021.0
ashford,CT,windham,12,41.9,-72.2,9015.0
ashland,KY,boyd,24,38.5,-82.7,21019.0
ashland,OR,jackson,8,42.2,-122.7,41029.0
astoria,NY,queens,4,40.8,-73.9,36081.0
atascosa,TX,bexar,3,29.3,-98.7,48029.0
atchison,KS,atchison,72,39.5,-95.1,20005.0
atco,NJ,camden,72,39.8,-74.9,34007.0
atglen,PA,chester,4,39.9,-76.0,42029.0
athens,GA,clarke,3,34.0,-83.4,13059.0
athens,OH,athens,15,39.3,-82.1,39009.0
atlanta,GA,cobb,112,33.8,-84.4,13067.0
atlanta,GA,dekalb,238,33.8,-84.4,13089.0
atlanta,GA,fulton,406,33.8,-84.4,13121.0
atlantic beach,NC,carteret,14,34.7,-76.8,37031.0
atlantic city,NJ,atlantic,2,39.4,-74.4,34001.0
auburn,CA,placer,6,39.0,-121.1,6061.0
auburn,PA,schuylkill,12,40.6,-76.1,42107.0
augusta,KS,butler,8,37.7,-97.0,20015.0
aumsville,OR,marion,2,44.8,-122.9,41047.0
aurora,IL,dupage,9,41.8,-88.2,17043.0
aurora,IL,kane,12,41.8,-88.2,17089.0
aurora,IL,will,3,41.8,-88.2,17197.0
aurora,MO,lawrence,8,36.9,-93.7,29109.0
aurora,NY,cayuga,2,42.7,-76.7,36011.0
aurora,OH,portage,12,41.3,-81.3,39133.0
aurora,WV,preston,2,39.3,-79.6,54077.0
austin,MN,mower,52,43.7,-93.0,27099.0
austin,PA,potter,4,41.6,-78.0,42105.0
austin,TX,hays,190,30.2,-97.7,48209.0
austin,TX,travis,8170,30.2,-97.7,48453.0
austin,TX,williamson,570,30.2,-97.7,48491.0
avon,IL,fulton,9,40.6,-90.4,17057.0
avon,NY,livingston,10,42.9,-77.7,36051.0
avon lake,OH,lorain,5,41.5,-82.0,39093.0
avondale,PA,chester,20,39.8,-75.8,42029.0
babylon,NY,suffolk,32,40.6,-73.3,36103.0
bakersfield,CA,kern,15,35.4,-119.0,6029.0
baldwin,NY,nassau,8,40.7,-73.6,36059.0
baldwinsville,NY,onondaga,6,43.2,-76.4,36067.0
ballinger,TX,runnels,4,31.8,-99.9,48399.0
ballston spa,NY,saratoga,12,43.0,-73.9,36091.0
ballwin,MO,st. louis,42,38.6,-90.6,29189.0
balsam grove,NC,transylvania,1,35.2,-82.9,37175.0
baltimore,MD,anne arundel,88,39.3,-76.6,24003.0
baltimore,MD,baltimore,132,39.3,-76.6,24005.0
baltimore,MD,baltimore city,1672,39.3,-76.6,24510.0
bandera,TX,bandera,1,29.7,-99.1,48019.0
bangor,PA,northampton,9,40.8,-75.2,42095.0
barco,NC,currituck,1,36.4,-76.0,37053.0
barrington,IL,lake,40,42.2,-88.2,17097.0
barrington,NH,strafford,3,43.2,-71.0,33017.0
barrytown,NY,dutchess,4,42.0,-73.9,36027.0
bartlesville,OK,washington,112,36.7,-96.1,40147.0
bastrop,LA,morehouse,8,32.9,-91.9,
bastrop,TX,bastrop,64,30.2,-97.3,48021.0
batavia,IL,kane,7,41.8,-88.3,17089.0
batavia,OH,clermont,36,39.1,-84.1,39025.0
batesville,IN,ripley,36,39.3,-85.2,18137.0
bath,OH,summit,6,41.2,-81.6,39153.0
baton rouge,LA,east. baton rouge,119,30.4,-91.1,
bay city,MI,bay,1,43.6,-83.9,26017.0
bay village,OH,cuyahoga,4,41.5,-81.9,39035.0
bayside,NY,queens,5,40.8,-73.8,36081.0
baytown,TX,chambers,6,29.8,-94.9,48071.0
baytown,TX,harris,13,29.8,-94.9,48201.0
bayville,NJ,ocean,60,39.9,-74.2,34029.0
beach haven,NJ,ocean,210,39.6,-74.2,34029.0
beachwood,NJ,ocean,2,39.9,-74.2,34029.0
beachwood,OH,cuyahoga,14,41.5,-81.5,39035.0
beacon falls,CT,new haven,1,41.4,-73.1,9009.0
beaufort,NC,carteret,2,34.9,-76.6,37031.0
beaumont,TX,jefferson,7,30.1,-94.1,48245.0
beaver,PA,beaver,20,40.7,-80.4,42007.0
beaver dam,WI,dodge,26,43.5,-88.9,55027.0
bedford,TX,tarrant,3,32.9,-97.1,48439.0
bedford,VA,bedford,3,37.3,-79.5,51019.0
beech grove,IN,marion,1,39.7,-86.1,18097.0
beeville,TX,bee,8,28.5,-97.8,48025.0
bel air,MD,harford,8,39.5,-76.4,24025.0
belen,NM,valencia,40,34.6,-106.7,35061.0
belfast,ME,waldo,6,44.4,-69.0,23027.0
bella vista,AR,benton,6,36.5,-94.2,5007.0
belle fourche,SD,butte,4,44.9,-103.8,46019.0
belle plaine,MN,scott,21,44.6,-93.7,27139.0
bellefontaine,OH,logan,6,40.4,-83.8,39091.0
bellefonte,PA,centre,116,40.9,-77.8,42027.0
belleville,KS,republic,56,39.8,-97.6,20157.0
belleville,MI,wayne,20,42.2,-83.5,26163.0
bellevue,NE,sarpy,28,41.1,-95.9,31153.0
bellville,OH,richland,6,40.6,-82.5,39139.0
belmont,NY,allegany,2,42.2,-78.0,36003.0
belpre,OH,washington,2,39.3,-81.6,39167.0
belton,TX,bell,111,31.1,-97.5,48027.0
belvidere,IL,boone,9,42.2,-88.8,17007.0
