City,State/Province,County,Date,Latitude,Longitude,year,month,day,season,Count
Oldsmar,FL,PINELLAS,2010-01-01,28.0,-82.7,2010,1,1,Winter,1
New Orleans,LA,ORLEANS,2010-01-07,30.0,-90.1,2010,1,7,Winter,48
New Orleans,LA,JEFFERSON,2010-01-07,30.0,-90.1,2010,1,7,Winter,12
Big Sur,CA,MONTEREY,2010-01-08,36.2,-121.6,2010,1,8,Winter,4
San Luis Obispo,CA,SAN LUIS OBISPO,2010-01-08,35.2,-120.6,2010,1,8,Winter,7
Mount Pleasant,SC,CHARLESTON,2010-01-09,32.8,-79.8,2010,1,9,Winter,2
Folly Beach,SC,CHARLESTON,2010-01-09,32.7,-80.0,2010,1,9,Winter,1
Huntington Beach,CA,ORANGE,2010-01-19,33.7,-118.0,2010,1,19,Winter,4
Big Sur,CA,MONTEREY,2010-01-21,36.2,-121.6,2010,1,21,Winter,4
Clearwater,FL,PINELLAS,2010-01-21,28.0,-82.8,2010,1,21,Winter,3
San Luis Obispo,CA,SAN LUIS OBISPO,2010-01-21,35.2,-120.6,2010,1,21,Winter,7
Homestead,FL,MIAMI-DADE,2010-01-23,25.5,-80.5,2010,1,23,Winter,12
Palm Harbor,FL,PINELLAS,2010-01-25,28.1,-82.8,2010,1,25,Winter,1
Corpus Christi,TX,NUECES,2010-01-25,27.8,-97.4,2010,1,25,Winter,5
Cypress,TX,HARRIS,2010-01-26,30.0,-95.7,2010,1,26,Winter,1
League City,TX,GALVESTON,2010-01-28,29.5,-95.1,2010,1,28,Winter,1
Big Sur,CA,MONTEREY,2010-02-01,36.2,-121.6,2010,2,1,Winter,4
San Luis Obispo,CA,SAN LUIS OBISPO,2010-02-01,35.2,-120.6,2010,2,1,Winter,7
Punta Gorda,FL,CHARLOTTE,2010-02-04,26.9,-82.1,2010,2,4,Winter,3
Gretna,LA,JEFFERSON,2010-02-04,29.9,-90.0,2010,2,4,Winter,2
Port Charlotte,FL,CHARLOTTE,2010-02-05,27.0,-82.1,2010,2,5,Winter,3
Port Lavaca,TX,CALHOUN,2010-02-05,28.5,-96.7,2010,2,5,Winter,10
Cocoa Beach,FL,BREVARD,2010-02-10,28.3,-80.6,2010,2,10,Winter,1
San Luis Obispo,CA,SAN LUIS OBISPO,2010-02-14,35.2,-120.6,2010,2,14,Winter,7
Big Sur,CA,MONTEREY,2010-02-14,36.2,-121.6,2010,2,14,Winter,4
El Reno,OK,CANADIAN,2010-02-17,35.5,-98.0,2010,2,17,Winter,3
San Luis Obispo,CA,SAN LUIS OBISPO,2010-02-22,35.2,-120.6,2010,2,22,Winter,7
Big Sur,CA,MONTEREY,2010-02-22,36.2,-121.6,2010,2,22,Winter,4
Palm Harbor,FL,PINELLAS,2010-02-25,28.1,-82.8,2010,2,25,Winter,1
Metairie,LA,JEFFERSON,2010-02-25,30.0,-90.2,2010,2,25,Winter,2
Coral Gables,FL,MIAMI-DADE,2010-02-26,25.8,-80.3,2010,2,26,Winter,2
Kissimmee,FL,OSCEOLA,2010-02-28,28.3,-81.4,2010,2,28,Winter,5
Kissimmee,FL,POLK,2010-02-28,28.3,-81.4,2010,2,28,Winter,2
Savannah,GA,CHATHAM,2010-02-28,32.1,-81.1,2010,2,28,Winter,10
Port Saint Lucie,FL,SAINT LUCIE,2010-03-07,27.3,-80.3,2010,3,7,Spring,5
Huntington Beach,CA,ORANGE,2010-03-12,33.7,-118.0,2010,3,12,Spring,4
Fargo,ND,CASS,2010-05-10,46.9,-96.8,2010,5,10,Spring,11
Colorado Springs,CO,EL PASO,2010-05-18,38.8,-104.8,2010,5,18,Spring,36
Redford,MI,WAYNE,2010-05-30,42.4,-83.3,2010,5,30,Spring,3
Overland Park,KS,JOHNSON,2010-06-24,39.0,-94.7,2010,6,24,Summer,12
Pahrump,NV,NYE,2010-07-06,36.3,-115.8,2010,7,6,Summer,3
Jackson,NJ,OCEAN,2010-07-18,40.1,-74.4,2010,7,18,Summer,3
Collegeville,PA,MONTGOMERY,2010-07-25,40.2,-75.4,2010,7,25,Summer,4
Independence,MO,JACKSON,2010-07-25,39.1,-94.4,2010,7,25,Summer,2
Sedalia,MO,PETTIS,2010-07-25,38.7,-93.3,2010,7,25,Summer,5
sterling heights,MI,MACOMB,2010-08-01,42.6,-83.1,2010,8,1,Summer,3
Ruidoso,NM,LINCOLN,2010-08-01,33.4,-105.7,2010,8,1,Summer,4
Sylva,NC,JACKSON,2010-08-02,34.4,-84.9,2010,8,2,Summer,1
Damariscotta,ME,LINCOLN,2010-08-02,44.0,-69.5,2010,8,2,Summer,1
Atlanta,GA,FULTON,2010-08-03,33.8,-84.4,2010,8,3,Summer,29
Atlanta,GA,COBB,2010-08-03,33.8,-84.4,2010,8,3,Summer,8
Atlanta,GA,DEKALB,2010-08-03,33.8,-84.4,2010,8,3,Summer,17
Silver Spring,MD,MONTGOMERY,2010-08-03,39.0,-77.0,2010,8,3,Summer,13
Dover,DE,KENT,2010-08-03,39.2,-75.6,2010,8,3,Summer,2
Vincentown,NJ,BURLINGTON,2010-08-04,39.8,-74.6,2010,8,4,Summer,5
Whitinsville,MA,WORCESTER,2010-08-05,42.1,-71.7,2010,8,5,Summer,1
Hauppauge,NY,SUFFOLK,2010-08-06,40.8,-73.2,2010,8,6,Summer,2
Whitinsville,MA,WORCESTER,2010-08-06,42.1,-71.7,2010,8,6,Summer,1
Ponca City,OK,KAY,2010-08-06,36.7,-97.1,2010,8,6,Summer,2
Leavenworth,KS,LEAVENWORTH,2010-08-06,39.3,-95.0,2010,8,6,Summer,1
Bayville,NJ,OCEAN,2010-08-06,39.9,-74.2,2010,8,6,Summer,3
Colorado Springs,CO,EL PASO,2010-08-07,38.8,-104.8,2010,8,7,Summer,36
Ruckersville,VA,GREENE,2010-08-07,38.2,-78.4,2010,8,7,Summer,2
Omaha,NE,SARPY,2010-08-07,41.3,-95.9,2010,8,7,Summer,4
Carmel,NY,PUTNAM,2010-08-07,41.4,-73.7,2010,8,7,Summer,4
Montour Falls,NY,SCHUYLER,2010-08-07,42.3,-76.8,2010,8,7,Summer,1
Gainesville,FL,ALACHUA,2010-08-07,29.6,-82.4,2010,8,7,Summer,4
Brookfield,WI,WAUKESHA,2010-08-07,43.1,-88.1,2010,8,7,Summer,1
Concord,MA,MIDDLESEX,2010-08-07,42.5,-71.4,2010,8,7,Summer,3
Kansas City,MO,PLATTE,2010-08-07,39.1,-94.6,2010,8,7,Summer,10
Omaha,NE,DOUGLAS,2010-08-07,41.3,-95.9,2010,8,7,Summer,19
Jackson,NJ,OCEAN,2010-08-07,40.1,-74.4,2010,8,7,Summer,3
Kansas City,MO,JACKSON,2010-08-07,39.1,-94.6,2010,8,7,Summer,13
Kansas City,MO,CLAY,2010-08-07,39.1,-94.6,2010,8,7,Summer,21
Winchester,VA,WINCHESTER CITY,2010-08-08,39.2,-78.2,2010,8,8,Summer,1
Winchester,VA,FREDERICK,2010-08-08,39.2,-78.2,2010,8,8,Summer,2
Graham,TX,YOUNG,2010-08-08,33.1,-98.6,2010,8,8,Summer,1
Sterling heights,MI,MACOMB,2010-08-08,42.6,-83.1,2010,8,8,Summer,3
Whitinsville,MA,WORCESTER,2010-08-08,42.1,-71.7,2010,8,8,Summer,1
Roanoke,VA,ROANOKE CITY,2010-08-08,37.3,-79.9,2010,8,8,Summer,9
Roanoke,VA,ROANOKE,2010-08-08,37.3,-79.9,2010,8,8,Summer,6
Roanoke,VA,BOTETOURT,2010-08-08,37.3,-79.9,2010,8,8,Summer,2
Roanoke,VA,SALEM,2010-08-08,37.3,-79.9,2010,8,8,Summer,2
lubbock,TX,LUBBOCK,2010-08-09,33.6,-101.9,2010,8,9,Summer,6
Clarksville,TN,MONTGOMERY,2010-08-09,36.5,-87.3,2010,8,9,Summer,6
Whitinsville,MA,WORCESTER,2010-08-09,42.1,-71.7,2010,8,9,Summer,1
Port Jefferson Station,NY,SUFFOLK,2010-08-09,40.9,-73.1,2010,8,9,Summer,5
Kansas City,MO,JACKSON,2010-08-09,39.1,-94.6,2010,8,9,Summer,13
Kansas City,MO,CLAY,2010-08-09,39.1,-94.6,2010,8,9,Summer,21
Charlotte,VT,CHITTENDEN,2010-08-09,44.3,-73.2,2010,8,9,Summer,2
Winfield,MO,LINCOLN,2010-08-09,39.0,-90.8,2010,8,9,Summer,1
Kansas City,MO,PLATTE,2010-08-09,39.1,-94.6,2010,8,9,Summer,10
wolfeboro,NH,CARROLL,2010-08-09,43.6,-71.2,2010,8,9,Summer,2
Davidsonville,MD,ANNE ARUNDEL,2010-08-09,39.0,-76.7,2010,8,9,Summer,1
huntington station,NY,SUFFOLK,2010-08-10,40.8,-73.4,2010,8,10,Summer,6
