City,State/Province,County,Date,Latitude,Longitude,year,month,day,season,Count,AQI
Big Sur,CA,monterey,2015-01-01,36.2,-121.6,2015,1,1,Winter,131656,47.0
Ventura,CA,ventura,2015-01-01,34.3,-119.3,2015,1,1,Winter,12,67.0
Morro Bay,CA,san luis obispo,2015-01-01,35.4,-120.8,2015,1,1,Winter,15890,78.0
Santa Cruz,CA,santa cruz,2015-01-01,37.1,-122.2,2015,1,1,Winter,28000,95.0
Santa Barbara,CA,santa barbara,2015-01-01,34.4,-119.7,2015,1,1,Winter,54481,67.0
San Luis Obispo,CA,san luis obispo,2015-01-01,35.2,-120.6,2015,1,1,Winter,111048,78.0
San Leandro,CA,alameda,2015-01-01,37.7,-122.2,2015,1,1,Winter,7750,65.0
Saint Petersburg,FL,pinellas,2015-01-01,27.8,-82.6,2015,1,1,Winter,52,54.0
Punta Gorda,FL,charlotte,2015-01-01,27.0,-82.2,2015,1,1,Winter,3,
Pismo Beach,CA,san luis obispo,2015-01-01,35.2,-120.7,2015,1,1,Winter,59608,78.0
Houston,TX,fort bend,2015-01-02,29.8,-95.4,2015,1,2,Winter,1,
Houston,TX,harris,2015-01-02,29.8,-95.4,2015,1,2,Winter,43,53.0
Inverness,FL,citrus,2015-01-03,28.8,-82.3,2015,1,3,Winter,1,27.0
Long Beach,CA,los angeles,2015-01-04,33.8,-118.2,2015,1,4,Winter,20,107.0
Long Beach,CA,los angeles,2015-01-05,33.8,-118.2,2015,1,5,Winter,20,62.0
Tallahassee,FL,leon,2015-01-05,30.4,-84.3,2015,1,5,Winter,12,34.0
La Mesa,CA,san diego,2015-01-06,32.8,-117.0,2015,1,6,Winter,1,52.0
Mount Dora,FL,lake,2015-01-06,28.8,-81.6,2015,1,6,Winter,1,30.0
Palm Bay,FL,brevard,2015-01-07,28.0,-80.6,2015,1,7,Winter,4,40.0
Mount Dora,FL,lake,2015-01-07,28.8,-81.6,2015,1,7,Winter,1,35.0
Long Beach,CA,los angeles,2015-01-07,33.8,-118.2,2015,1,7,Winter,20,64.0
Palm Bay,FL,brevard,2015-01-09,28.0,-80.6,2015,1,9,Winter,4,47.0
ALTAMONTE SPRINGS,FL,seminole,2015-01-10,28.7,-81.4,2015,1,10,Winter,3,42.0
Palm Bay,FL,brevard,2015-01-11,28.0,-80.6,2015,1,11,Winter,4,46.0
New Orleans,LA,jefferson,2015-01-12,30.0,-90.1,2015,1,12,Winter,6,48.0
Long Beach,CA,los angeles,2015-01-12,33.8,-118.2,2015,1,12,Winter,60,103.0
New Orleans,LA,orleans,2015-01-12,30.0,-90.1,2015,1,12,Winter,24,46.0
Palm Bay,FL,brevard,2015-01-13,28.0,-80.6,2015,1,13,Winter,4,28.0
Long Beach,CA,los angeles,2015-01-14,33.8,-118.2,2015,1,14,Winter,20,74.0
LAKEWOOD,CA,los angeles,2015-01-15,33.8,-118.1,2015,1,15,Winter,1,55.0
zephyrhills,FL,pasco,2015-01-15,28.2,-82.1,2015,1,15,Winter,1,14.0
Houston,TX,fort bend,2015-01-17,29.8,-95.4,2015,1,17,Winter,1,
Houston,TX,harris,2015-01-17,29.8,-95.4,2015,1,17,Winter,43,66.0
Theodore,AL,mobile,2015-01-17,30.5,-88.2,2015,1,17,Winter,2,55.0
Venice,FL,sarasota,2015-01-17,27.1,-82.5,2015,1,17,Winter,1,52.0
Palm Bay,FL,brevard,2015-01-18,28.0,-80.6,2015,1,18,Winter,4,41.0
Cocoa,FL,brevard,2015-01-20,28.4,-80.7,2015,1,20,Winter,3,36.0
Palm Bay,FL,brevard,2015-01-20,28.0,-80.6,2015,1,20,Winter,4,36.0
Theodore,AL,mobile,2015-01-20,30.5,-88.2,2015,1,20,Winter,2,53.0
Palm Bay,FL,brevard,2015-01-21,28.0,-80.6,2015,1,21,Winter,4,49.0
North Hollywood,CA,los angeles,2015-01-22,34.2,-118.4,2015,1,22,Winter,13,85.0
New Orleans,LA,jefferson,2015-01-22,30.0,-90.1,2015,1,22,Winter,6,49.0
Long Beach,CA,los angeles,2015-01-22,33.8,-118.2,2015,1,22,Winter,20,85.0
New Orleans,LA,orleans,2015-01-22,30.0,-90.1,2015,1,22,Winter,24,25.0
Mount Dora,FL,lake,2015-01-22,28.8,-81.6,2015,1,22,Winter,1,41.0
Monterey,CA,monterey,2015-01-23,36.6,-121.8,2015,1,23,Winter,5,31.0
Phoenix,AZ,maricopa,2015-01-24,33.5,-112.1,2015,1,24,Winter,5,58.0
Long Beach,CA,los angeles,2015-01-24,33.8,-118.2,2015,1,24,Winter,40,75.0
Scottsdale,AZ,maricopa,2015-01-24,33.5,-111.9,2015,1,24,Winter,1,58.0
Covina,CA,los angeles,2015-01-24,34.1,-117.9,2015,1,24,Winter,2,75.0
Long Beach,CA,los angeles,2015-01-25,33.8,-118.2,2015,1,25,Winter,20,86.0
Redondo Beach,CA,los angeles,2015-01-25,33.8,-118.4,2015,1,25,Winter,1,86.0
Houston,TX,fort bend,2015-01-25,29.8,-95.4,2015,1,25,Winter,1,
Houston,TX,harris,2015-01-25,29.8,-95.4,2015,1,25,Winter,43,39.0
Long Beach,CA,los angeles,2015-01-26,33.8,-118.2,2015,1,26,Winter,20,56.0
Newark,CA,alameda,2015-01-26,37.5,-122.0,2015,1,26,Winter,1,71.0
Newark,CA,alameda,2015-01-27,37.5,-122.0,2015,1,27,Winter,1,56.0
Ormond Beach,FL,volusia,2015-01-27,29.3,-81.1,2015,1,27,Winter,1,53.0
Port Aransas,TX,nueces,2015-01-28,27.9,-97.1,2015,1,28,Winter,1,35.0
Port Lavaca,TX,calhoun,2015-01-28,28.5,-96.7,2015,1,28,Winter,10,
Long Beach,CA,los angeles,2015-01-28,33.8,-118.2,2015,1,28,Winter,20,61.0
Port aransas,TX,nueces,2015-01-29,27.9,-97.1,2015,1,29,Winter,1,35.0
Palm Bay,FL,brevard,2015-01-29,28.0,-80.6,2015,1,29,Winter,4,46.0
Katy,TX,harris,2015-01-30,29.8,-95.7,2015,1,30,Winter,2,53.0
Katy,TX,fort bend,2015-01-30,29.8,-95.7,2015,1,30,Winter,2,
Monticello,NY,sullivan,2015-01-30,41.6,-74.7,2015,1,30,Winter,8,
Port Lavaca,TX,calhoun,2015-01-31,28.5,-96.7,2015,1,31,Winter,10,
Long Beach,CA,los angeles,2015-01-31,33.8,-118.2,2015,1,31,Winter,20,72.0
Mountain View,CA,santa clara,2015-01-31,37.4,-122.0,2015,1,31,Winter,5,53.0
Sunnyvale,CA,santa clara,2015-01-31,37.4,-122.0,2015,1,31,Winter,2,53.0
"Rockport,",TX,aransas,2015-01-31,28.2,-97.0,2015,1,31,Winter,4,
Bradenton,FL,manatee,2015-02-01,27.4,-82.5,2015,2,1,Winter,16,40.0
El Cajon,CA,san diego,2015-02-02,32.8,-116.9,2015,2,2,Winter,3,57.0
Long Beach,CA,los angeles,2015-02-02,33.8,-118.2,2015,2,2,Winter,40,89.0
Lake Mary,FL,seminole,2015-02-02,28.8,-81.4,2015,2,2,Winter,2,34.0
Houston,TX,fort bend,2015-02-02,29.8,-95.4,2015,2,2,Winter,1,
Houston,TX,harris,2015-02-02,29.8,-95.4,2015,2,2,Winter,43,39.0
Pismo Beach,CA,san luis obispo,2015-02-02,35.2,-120.7,2015,2,2,Winter,2,60.0
Lakeland,FL,polk,2015-02-03,28.0,-81.9,2015,2,3,Winter,2,46.0
Spring Hill,FL,hernando,2015-02-03,28.5,-82.6,2015,2,3,Winter,5,
Oakland,CA,alameda,2015-02-03,37.7,-122.2,2015,2,3,Winter,9,77.0
Spring Hill,FL,pasco,2015-02-03,28.5,-82.6,2015,2,3,Winter,3,35.0
Long Beach,CA,los angeles,2015-02-04,33.8,-118.2,2015,2,4,Winter,20,158.0
marathon,FL,monroe,2015-02-05,24.7,-81.1,2015,2,5,Winter,6,
Aliso Viejo,CA,orange,2015-02-05,33.6,-117.7,2015,2,5,Winter,4,142.0
laguna woods,CA,orange,2015-02-05,33.6,-117.7,2015,2,5,Winter,2,142.0
sanford,FL,seminole,2015-02-08,28.8,-81.3,2015,2,8,Winter,1,44.0
Amado,AZ,santa cruz,2015-02-08,31.6,-111.1,2015,2,8,Winter,1,54.0
safety harbor,FL,pinellas,2015-02-08,28.0,-82.7,2015,2,8,Winter,1,47.0
Port Aransas,TX,nueces,2015-02-09,27.9,-97.1,2015,2,9,Winter,1,52.0
