City,State/Province,County,Date,Latitude,Longitude,year,month,day,Count,season,AQI,Temp_Mean
Stanfordville,NY,dutchess,2021-07-17,41.9,-73.7,2021,7,17,4,Summer,35.0,
South Bend,IN,stjoseph,2021-07-17,41.7,-86.2,2021,7,17,7,Summer,,
Magnolia,TX,montgomery,2021-07-17,30.2,-95.8,2021,7,17,10,Summer,58.0,83.333333
Haverhill,MA,essex,2021-07-17,42.8,-71.1,2021,7,17,3,Summer,53.0,72.666667
San Diego,CA,sandiego,2021-07-17,32.7,-117.1,2021,7,17,20,Summer,64.0,71.817708375
Springfield,MO,greene,2021-07-17,37.2,-93.3,2021,7,17,6,Summer,39.0,73.083333
Westpoint,IN,tippecanoe,2021-07-17,40.3,-87.0,2021,7,17,1,Summer,55.0,
Cuyahoga Falls,OH,summit,2021-07-17,41.2,-81.5,2021,7,17,4,Summer,41.0,
Worcester,MA,worcester,2021-07-17,42.3,-71.8,2021,7,17,12,Summer,51.0,72.39583350000001
Brookfield,CT,fairfield,2021-07-17,41.5,-73.4,2021,7,17,6,Summer,62.0,78.9583334
Saint Paul,MN,hennepin,2021-07-17,45.0,-93.1,2021,7,17,3,Summer,59.0,
Holyoke,MA,hampden,2021-07-17,42.2,-72.6,2021,7,17,2,Summer,43.0,75.541667
Loveland,CO,larimer,2021-07-17,40.4,-105.2,2021,7,17,2,Summer,105.0,66.8541665
Friendship,WI,adams,2021-07-17,44.0,-89.6,2021,7,17,20,Summer,,
Saint Paul,MN,hennepin,2021-07-17,44.9,-93.1,2021,7,17,3,Summer,59.0,
Chicago,IL,cook,2021-07-17,41.9,-87.6,2021,7,17,58,Summer,57.0,69.208333
Derwood,MD,montgomery,2021-07-17,39.1,-77.1,2021,7,17,2,Summer,45.0,75.333333
Keyport,NJ,monmouth,2021-07-17,40.4,-74.2,2021,7,17,4,Summer,41.0,
Hammond,IN,lake,2021-07-17,41.6,-87.5,2021,7,17,15,Summer,58.0,68.94444466666667
Warren,MI,macomb,2021-07-17,42.5,-83.0,2021,7,17,4,Summer,57.0,70.541667
Aberdeen,SD,brown,2021-07-17,45.5,-98.5,2021,7,17,9,Summer,64.0,
Kansas City,MO,platte,2021-07-18,39.2,-94.5,2021,7,18,10,Summer,,
Rochester,IN,fulton,2021-07-18,41.0,-86.2,2021,7,18,2,Summer,,
Rochester,MI,oakland,2021-07-18,42.7,-83.2,2021,7,18,21,Summer,29.0,74.05555533333333
Mabel,MN,fillmore,2021-07-18,43.5,-91.9,2021,7,18,22,Summer,,
Saint Paul,MN,washington,2021-07-18,44.9,-93.1,2021,7,18,33,Summer,39.0,
Hackensack,NJ,bergen,2021-07-18,40.9,-74.0,2021,7,18,4,Summer,26.0,
Milwaukee,WI,milwaukee,2021-07-18,43.1,-88.0,2021,7,18,174,Summer,59.0,69.95833333333333
Henryetta,OK,okmulgee,2021-07-18,35.5,-95.8,2021,7,18,6,Summer,,
Saint Paul,MN,hennepin,2021-07-18,44.9,-93.1,2021,7,18,9,Summer,59.0,
Jonestown,PA,lebanon,2021-07-18,40.5,-76.5,2021,7,18,5,Summer,32.0,
Albuquerque,NM,bernalillo,2021-07-18,35.1,-106.5,2021,7,18,15,Summer,64.0,76.69716166666667
Auburn,NY,cayuga,2021-07-18,42.9,-76.6,2021,7,18,14,Summer,,
Lamy,NM,santafe,2021-07-18,35.4,-105.9,2021,7,18,6,Summer,58.0,
Saint Louis,MO,saintlouis,2021-07-18,38.6,-90.3,2021,7,18,76,Summer,45.0,77.55555566666668
Mountain View,CA,santaclara,2021-07-18,37.4,-122.1,2021,7,18,20,Summer,59.0,70.772727
Santa Fe,NM,santafe,2021-07-18,35.7,-106.0,2021,7,18,16,Summer,58.0,
Loveland,OH,clermont,2021-07-18,39.3,-84.3,2021,7,18,10,Summer,37.0,
Saint Paul,MN,ramsey,2021-07-18,44.9,-93.1,2021,7,18,129,Summer,58.0,
Saint Louis,MO,saintlouiscity,2021-07-18,38.6,-90.3,2021,7,18,13,Summer,,
Kansas City,MO,clay,2021-07-18,39.2,-94.5,2021,7,18,21,Summer,49.0,73.125
Stanfordville,NY,dutchess,2021-07-18,41.9,-73.7,2021,7,18,1,Summer,28.0,
Pekin,IL,tazewell,2021-07-18,40.6,-89.6,2021,7,18,10,Summer,,
Holden,MO,johnson,2021-07-18,38.8,-94.0,2021,7,18,1,Summer,,
Newburgh,IN,warrick,2021-07-18,37.9,-87.4,2021,7,18,4,Summer,34.0,72.833333
Kansas City,MO,jackson,2021-07-18,39.2,-94.5,2021,7,18,13,Summer,61.0,76.11458325
Cambridge,WI,dane,2021-07-18,43.0,-89.0,2021,7,18,1,Summer,58.0,72.625
Millis,MA,norfolk,2021-07-18,42.2,-71.3,2021,7,18,5,Summer,45.0,68.625
Cuyahoga Falls,OH,summit,2021-07-18,41.2,-81.5,2021,7,18,2,Summer,58.0,
Reston,VA,fairfax,2021-07-18,39.0,-77.3,2021,7,18,4,Summer,41.0,76.704167
Bixby,OK,tulsa,2021-07-18,35.9,-95.9,2021,7,18,1,Summer,52.0,78.82738114285715
Millbrook,AL,elmore,2021-07-18,32.5,-86.4,2021,7,18,1,Summer,28.0,
Edelstein,IL,peoria,2021-07-18,40.9,-89.6,2021,7,18,564,Summer,56.0,74.479167
Oneida,WI,brown,2021-07-18,44.5,-88.2,2021,7,18,2,Summer,57.0,74.125
Belmont,MI,kent,2021-07-18,43.1,-85.5,2021,7,18,1,Summer,61.0,74.291667
Pass Christian,MS,harrison,2021-07-18,30.3,-89.2,2021,7,18,8,Summer,32.0,80.791667
Norman,OK,cleveland,2021-07-18,35.2,-97.4,2021,7,18,2,Summer,56.0,79.795833
Oxnard,CA,ventura,2021-07-18,34.2,-119.1,2021,7,18,9,Summer,67.0,74.17361116666667
Minneapolis,MN,hennepin,2021-07-18,45.0,-93.2,2021,7,18,93,Summer,59.0,
Broken Arrow,OK,tulsa,2021-07-18,36.0,-95.7,2021,7,18,4,Summer,52.0,78.82738114285715
Glenwood,NM,catron,2021-07-18,33.3,-108.9,2021,7,18,4,Summer,21.0,
Danville,IL,vermilion,2021-07-18,40.2,-87.6,2021,7,18,30,Summer,,
Cincinnati,OH,clermont,2021-07-18,39.2,-84.5,2021,7,18,3,Summer,37.0,
Westfield,IN,hamilton,2021-07-18,40.0,-86.1,2021,7,18,2,Summer,45.0,
Wappingers Falls,NY,dutchess,2021-07-18,41.5,-74.0,2021,7,18,4,Summer,28.0,
Broken Arrow,OK,wagoner,2021-07-18,36.0,-95.7,2021,7,18,4,Summer,,
Lakewood,OH,cuyahoga,2021-07-18,41.5,-81.8,2021,7,18,3,Summer,63.0,71.620833
Hooksett,NH,merrimack,2021-07-18,43.1,-71.5,2021,7,18,2,Summer,30.0,66.125
Long Beach,CA,losangeles,2021-07-18,33.8,-118.1,2021,7,18,20,Summer,136.0,78.528205
Bethesda,MD,montgomery,2021-07-18,39.0,-77.1,2021,7,18,8,Summer,36.0,71.333333
Saint Paul,MN,dakota,2021-07-18,44.9,-93.1,2021,7,18,33,Summer,55.0,
Ypsilanti,MI,washtenaw,2021-07-18,42.2,-83.6,2021,7,18,5,Summer,57.0,74.083333
Minneapolis,MN,anoka,2021-07-18,45.0,-93.2,2021,7,18,36,Summer,57.0,
Cape Charles,VA,northampton,2021-07-18,37.3,-76.0,2021,7,18,1,Summer,,
Lewiston,NY,niagara,2021-07-18,43.2,-79.0,2021,7,18,3,Summer,23.0,
Greenland,NH,rockingham,2021-07-18,43.0,-70.8,2021,7,18,2,Summer,45.0,67.597222
Cincinnati,OH,hamilton,2021-07-18,39.2,-84.5,2021,7,18,111,Summer,54.0,76.16666666666667
Brookfield,CT,fairfield,2021-07-18,41.5,-73.4,2021,7,18,3,Summer,44.0,77.23333319999999
Green Bay,WI,brown,2021-07-18,44.5,-87.9,2021,7,18,48,Summer,57.0,74.125
League City,TX,galveston,2021-07-18,29.5,-95.0,2021,7,18,20,Summer,26.0,85.5
Winnetka,CA,losangeles,2021-07-18,34.2,-118.6,2021,7,18,2,Summer,136.0,78.528205
Carlton,MN,carlton,2021-07-18,46.6,-92.4,2021,7,18,20,Summer,57.0,
Georgetown,TX,williamson,2021-07-18,30.6,-97.7,2021,7,18,4,Summer,,
Keyport,NJ,monmouth,2021-07-18,40.4,-74.2,2021,7,18,4,Summer,36.0,
Kalamazoo,MI,kalamazoo,2021-07-18,42.3,-85.6,2021,7,18,2,Summer,59.0,71.5
Riverside,CA,riverside,2021-07-18,34.0,-117.3,2021,7,18,11,Summer,140.0,90.77946442857144
Ridgewood,NY,queens,2021-07-19,40.7,-73.9,2021,7,19,5,Summer,33.0,74.958333
Stamford,CT,fairfield,2021-07-19,41.1,-73.5,2021,7,19,11,Summer,30.0,73.8358696
Pass Christian,MS,harrison,2021-07-19,30.3,-89.2,2021,7,19,4,Summer,33.0,81.145833
Sibley,MO,jackson,2021-07-19,39.2,-94.2,2021,7,19,4,Summer,62.0,76.094203
Saint Paul,MN,dakota,2021-07-19,45.0,-93.2,2021,7,19,22,Summer,54.0,
Westpoint,IN,tippecanoe,2021-07-19,40.3,-87.0,2021,7,19,1,Summer,55.0,
Riverside,CA,riverside,2021-07-19,34.0,-117.3,2021,7,19,11,Summer,143.0,91.36666657142857
Conway,NH,carroll,2021-07-19,43.9,-71.1,2021,7,19,4,Summer,,
Minneapolis,MN,hennepin,2021-07-19,45.2,-93.3,2021,7,19,31,Summer,53.0,
Corona,NM,lincoln,2021-07-19,34.3,-105.6,2021,7,19,1,Summer,,
Palatine,IL,cook,2021-07-19,42.1,-88.0,2021,7,19,21,Summer,60.0,71.833333
South Haven,MI,vanburen,2021-07-19,42.4,-86.2,2021,7,19,1,Summer,,
Lakewood,OH,cuyahoga,2021-07-19,41.5,-81.8,2021,7,19,9,Summer,85.0,72.8625
Uncasville,CT,newlondon,2021-07-19,41.4,-72.1,2021,7,19,2,Summer,19.0,73.041667
Minneapolis,MN,anoka,2021-07-19,45.2,-93.3,2021,7,19,12,Summer,80.0,
Amarillo,TX,potter,2021-07-19,35.2,-101.9,2021,7,19,8,Summer,39.0,72.145833
Carpentersville,IL,kane,2021-07-19,42.1,-88.3,2021,7,19,4,Summer,67.0,
Eagar,AZ,apache,2021-07-19,33.9,-109.4,2021,7,19,1,Summer,8.0,
Nogal,NM,lincoln,2021-07-19,33.5,-105.8,2021,7,19,3,Summer,,
Minneapolis,MN,anoka,2021-07-19,44.9,-93.3,2021,7,19,36,Summer,80.0,
Hernando,MS,desoto,2021-07-19,34.8,-90.0,2021,7,19,1,Summer,35.0,77.770833
Cuyahoga Falls,OH,summit,2021-07-19,41.2,-81.5,2021,7,19,2,Summer,80.0,
Rockville,MD,montgomery,2021-07-19,39.1,-77.2,2021,7,19,4,Summer,68.0,73.666667
Cocoa,FL,brevard,2021-07-19,28.5,-80.8,2021,7,19,6,Summer,32.0,82.25
Independence,OH,cuyahoga,2021-07-19,41.4,-81.6,2021,7,19,28,Summer,85.0,72.8625
Denver,CO,arapahoe,2021-07-19,39.7,-105.0,2021,7,19,2,Summer,136.0,77.33333350000001
Saint Paul,MN,ramsey,2021-07-19,45.0,-93.2,2021,7,19,86,Summer,54.0,
Newburgh,IN,warrick,2021-07-19,37.9,-87.4,2021,7,19,8,Summer,36.0,75.125
Ocean City,MD,worcester,2021-07-19,38.2,-75.2,2021,7,19,3,Summer,,
Harrisville,MI,alcona,2021-07-19,44.7,-83.3,2021,7,19,100,Summer,,
Ghent,NY,columbia,2021-07-19,42.3,-73.7,2021,7,19,1,Summer,,
Minneapolis,MN,hennepin,2021-07-19,44.9,-93.3,2021,7,19,93,Summer,53.0,
Denver,CO,jefferson,2021-07-19,39.7,-105.0,2021,7,19,5,Summer,161.0,75.46875
Rockford,MI,kent,2021-07-19,43.1,-85.5,2021,7,19,2,Summer,66.0,76.3125
Milwaukee,WI,milwaukee,2021-07-19,43.1,-87.9,2021,7,19,58,Summer,65.0,73.01388866666666
Carlton,MN,carlton,2021-07-19,46.7,-92.4,2021,7,19,2,Summer,52.0,
Downingtown,PA,chester,2021-07-19,40.1,-75.7,2021,7,19,2,Summer,86.0,
Middletown,MD,frederick,2021-07-19,39.4,-77.6,2021,7,19,3,Summer,44.0,
Bowie,MD,princegeorges,2021-07-19,39.0,-76.7,2021,7,19,10,Summer,,
Portage,WI,columbia,2021-07-19,43.5,-89.5,2021,7,19,6,Summer,40.0,
Georgetown,TX,williamson,2021-07-19,30.6,-97.7,2021,7,19,4,Summer,,
Saint Paul,MN,hennepin,2021-07-19,45.0,-93.2,2021,7,19,6,Summer,53.0,
Ballwin,MO,saintlouis,2021-07-19,38.6,-90.5,2021,7,19,7,Summer,51.0,78.138889
Denver,CO,adams,2021-07-19,39.7,-105.0,2021,7,19,8,Summer,129.0,80.583333
Amarillo,TX,randall,2021-07-19,35.2,-101.9,2021,7,19,4,Summer,61.0,
Hackensack,NJ,bergen,2021-07-19,40.9,-74.0,2021,7,19,4,Summer,29.0,
Rochester,IN,fulton,2021-07-19,41.0,-86.2,2021,7,19,1,Summer,,
Denver,CO,denver,2021-07-19,39.7,-105.0,2021,7,19,27,Summer,143.0,80.2416668
Hinsdale,IL,dupage,2021-07-19,41.8,-87.9,2021,7,19,12,Summer,74.0,
Broken Arrow,OK,tulsa,2021-07-19,36.1,-95.8,2021,7,19,2,Summer,63.0,79.50357142857142
Maybee,MI,monroe,2021-07-19,42.0,-83.5,2021,7,19,3,Summer,,
Eau Claire,PA,butler,2021-07-19,41.1,-79.8,2021,7,19,4,Summer,,
Hammond,IN,lake,2021-07-19,41.6,-87.5,2021,7,19,36,Summer,61.0,72.31944433333332
Big Prairie,OH,holmes,2021-07-19,40.7,-82.1,2021,7,19,1,Summer,,
Mabel,MN,fillmore,2021-07-19,43.5,-91.9,2021,7,19,19,Summer,,
Saint Paul,MN,washington,2021-07-19,45.0,-93.2,2021,7,19,22,Summer,58.0,
Broken Arrow,OK,wagoner,2021-07-19,36.1,-95.8,2021,7,19,2,Summer,,
Henrico,VA,richmondcity,2021-07-20,37.5,-77.3,2021,7,20,3,Summer,74.0,
Pensacola,FL,escambia,2021-07-20,30.4,-87.2,2021,7,20,216,Summer,30.0,78.0
Cuyahoga Falls,OH,summit,2021-07-20,41.2,-81.5,2021,7,20,2,Summer,103.0,
Portsmouth,NH,rockingham,2021-07-20,43.1,-70.8,2021,7,20,3,Summer,102.0,73.77777766666667
Springerville,AZ,apache,2021-07-20,34.2,-109.5,2021,7,20,2,Summer,10.0,
Carrizozo,NM,lincoln,2021-07-20,33.6,-105.7,2021,7,20,24,Summer,,
Saint Amant,LA,ascension,2021-07-20,30.3,-90.9,2021,7,20,2,Summer,21.0,
Lake Forest,CA,orange,2021-07-20,33.6,-117.7,2021,7,20,12,Summer,58.0,77.35416649999999
Henrico,VA,henrico,2021-07-20,37.5,-77.3,2021,7,20,16,Summer,88.0,80.01875000000001
Petoskey,MI,emmet,2021-07-20,45.4,-84.9,2021,7,20,15,Summer,,
Banning,CA,riverside,2021-07-20,33.9,-116.9,2021,7,20,1,Summer,164.0,91.14077385714286
Hammond,IN,lake,2021-07-20,41.6,-87.5,2021,7,20,30,Summer,112.0,74.0
Minneapolis,MN,anoka,2021-07-20,44.9,-93.3,2021,7,20,96,Summer,102.0,
Hackensack,NJ,bergen,2021-07-20,40.9,-74.0,2021,7,20,4,Summer,136.0,
State College,PA,centre,2021-07-20,40.8,-77.9,2021,7,20,1,Summer,114.0,
Garrison,UT,millard,2021-07-20,39.1,-114.0,2021,7,20,4,Summer,,
Renovo,PA,clinton,2021-07-20,41.4,-77.7,2021,7,20,11,Summer,,
Dallas,TX,collin,2021-07-20,32.8,-96.7,2021,7,20,2,Summer,41.0,79.4375
Auburn,NY,cayuga,2021-07-20,42.9,-76.6,2021,7,20,14,Summer,,
Morrison,CO,jefferson,2021-07-20,39.7,-105.2,2021,7,20,4,Summer,154.0,75.83333325
Kansas City,MO,platte,2021-07-20,39.2,-94.5,2021,7,20,20,Summer,,
Minneapolis,MN,anoka,2021-07-20,45.0,-93.2,2021,7,20,36,Summer,102.0,
Swampscott,MA,essex,2021-07-20,42.5,-70.9,2021,7,20,1,Summer,89.0,75.0
Waterford,CT,newlondon,2021-07-20,41.4,-72.2,2021,7,20,3,Summer,93.0,75.666667
Broken Arrow,OK,wagoner,2021-07-20,36.1,-95.8,2021,7,20,2,Summer,,
Kittery,ME,york,2021-07-20,43.1,-70.8,2021,7,20,2,Summer,32.0,
Westpoint,IN,tippecanoe,2021-07-20,40.3,-87.0,2021,7,20,6,Summer,62.0,
Moravia,NY,cayuga,2021-07-20,42.8,-76.5,2021,7,20,6,Summer,,
Cambridge,WI,dane,2021-07-20,43.0,-89.0,2021,7,20,2,Summer,69.0,76.291667
Lenexa,KS,johnson,2021-07-20,39.0,-94.7,2021,7,20,6,Summer,61.0,77.5
Springfield,MO,greene,2021-07-20,37.2,-93.3,2021,7,20,6,Summer,54.0,71.347826
Dallas,TX,dallas,2021-07-20,32.8,-96.7,2021,7,20,23,Summer,50.0,81.0416668
Des Plaines,IL,cook,2021-07-20,42.0,-87.9,2021,7,20,3,Summer,101.0,73.375
Capitan,NM,lincoln,2021-07-20,33.5,-105.5,2021,7,20,22,Summer,,
Medina,OH,medina,2021-07-20,41.1,-81.8,2021,7,20,10,Summer,80.0,
Harrisville,MI,alcona,2021-07-20,44.7,-83.3,2021,7,20,4,Summer,,
Inlet,NY,hamilton,2021-07-20,43.8,-74.8,2021,7,20,8,Summer,44.0,68.958333
Brick,NJ,ocean,2021-07-20,40.1,-74.2,2021,7,20,18,Summer,112.0,
Roselle,IL,dupage,2021-07-20,42.0,-88.1,2021,7,20,2,Summer,77.0,
Silver Spring,MD,montgomery,2021-07-20,39.1,-77.0,2021,7,20,39,Summer,80.0,75.333333
Las Cruces,NM,donaana,2021-07-20,32.3,-106.8,2021,7,20,3,Summer,93.0,81.30902783333333
Rochester,IN,fulton,2021-07-20,41.0,-86.2,2021,7,20,1,Summer,,
Georgetown,TX,williamson,2021-07-20,30.6,-97.7,2021,7,20,4,Summer,,
Edmond,OK,oklahoma,2021-07-20,35.6,-97.5,2021,7,20,2,Summer,72.0,77.6114585
Deep River,CT,middlesex,2021-07-20,41.4,-72.4,2021,7,20,1,Summer,43.0,74.708333
Cumming,GA,forsyth,2021-07-20,34.3,-84.2,2021,7,20,8,Summer,,
Buffalo,NY,erie,2021-07-20,42.9,-78.8,2021,7,20,39,Summer,99.0,
Lakeside,CA,sandiego,2021-07-20,32.9,-116.9,2021,7,20,1,Summer,58.0,75.25520825
Farmington,MO,saintfrancois,2021-07-20,37.7,-90.4,2021,7,20,4,Summer,,
Buffalo,NY,erie,2021-07-20,43.0,-78.8,2021,7,20,78,Summer,99.0,
Fergus Falls,MN,ottertail,2021-07-20,46.3,-96.1,2021,7,20,2,Summer,,
Lakeside,MI,berrien,2021-07-20,41.8,-86.7,2021,7,20,1,Summer,50.0,70.125
Medina,OH,medina,2021-07-20,41.2,-81.9,2021,7,20,2,Summer,80.0,
Fayetteville,AR,washington,2021-07-20,36.1,-94.2,2021,7,20,8,Summer,69.0,
Encino,NM,torrance,2021-07-20,34.6,-105.5,2021,7,20,2,Summer,,
Ithaca,NY,tompkins,2021-07-20,42.4,-76.5,2021,7,20,3,Summer,49.0,
Maybee,MI,monroe,2021-07-20,42.0,-83.5,2021,7,20,10,Summer,,
Malad City,ID,oneida,2021-07-20,42.1,-112.7,2021,7,20,8,Summer,,
Lutherville Timonium,MD,baltimore,2021-07-20,39.4,-76.6,2021,7,20,4,Summer,126.0,78.43055566666668
Minneapolis,MN,hennepin,2021-07-20,44.9,-93.3,2021,7,20,248,Summer,96.0,
Hampden,MA,hampden,2021-07-20,42.1,-72.4,2021,7,20,4,Summer,95.0,75.875
Tuttle,OK,grady,2021-07-20,35.3,-97.8,2021,7,20,1,Summer,,
Minneapolis,MN,hennepin,2021-07-20,45.0,-93.2,2021,7,20,93,Summer,96.0,
Putnam,CT,windham,2021-07-20,41.9,-71.8,2021,7,20,24,Summer,39.0,
Broken Arrow,OK,tulsa,2021-07-20,36.1,-95.8,2021,7,20,2,Summer,69.0,77.79226200000001
West Hartford,CT,hartford,2021-07-20,41.8,-72.7,2021,7,20,10,Summer,122.0,77.5
Long Lake,NY,hamilton,2021-07-20,44.0,-74.4,2021,7,20,6,Summer,44.0,68.958333
Mayville,MI,tuscola,2021-07-20,43.4,-83.3,2021,7,20,1,Summer,41.0,
Tucson,AZ,pima,2021-07-20,32.2,-110.9,2021,7,20,19,Summer,93.0,85.77083350000001
Clinton,CT,middlesex,2021-07-20,41.3,-72.5,2021,7,20,2,Summer,43.0,74.708333
Kansas City,MO,jackson,2021-07-20,39.2,-94.5,2021,7,20,26,Summer,65.0,77.870018
Bishop,CA,inyo,2021-07-20,37.5,-118.4,2021,7,20,18,Summer,61.0,83.8972224
Beachwood,OH,cuyahoga,2021-07-20,41.5,-81.5,2021,7,20,112,Summer,98.0,74.683333
Ohkay Owingeh,NM,rioarriba,2021-07-20,36.1,-106.0,2021,7,20,8,Summer,67.0,
Kansas City,MO,clay,2021-07-20,39.2,-94.5,2021,7,20,42,Summer,55.0,74.913043
Bellaire,MI,antrim,2021-07-20,44.9,-85.2,2021,7,20,6,Summer,,
Annapolis,MD,annearundel,2021-07-20,38.9,-76.5,2021,7,20,10,Summer,67.0,80.125
Medford,MA,middlesex,2021-07-21,42.4,-71.1,2021,7,21,5,Summer,64.0,
Venetia,PA,washington,2021-07-21,40.2,-80.0,2021,7,21,3,Summer,79.0,
Edmond,OK,oklahoma,2021-07-21,35.7,-97.5,2021,7,21,1,Summer,102.0,77.42395825
Bayside,NY,queens,2021-07-21,40.8,-73.8,2021,7,21,5,Summer,100.0,75.375
Florissant,MO,saintlouis,2021-07-21,38.8,-90.4,2021,7,21,6,Summer,80.0,79.83712133333334
Corona,NM,lincoln,2021-07-21,34.2,-105.6,2021,7,21,4,Summer,48.0,
Comstock Park,MI,kent,2021-07-21,43.0,-85.7,2021,7,21,5,Summer,58.0,69.625
Saint Louis,MO,saintlouiscity,2021-07-21,38.6,-90.4,2021,7,21,13,Summer,,
Arlington,VA,arlington,2021-07-21,38.9,-77.1,2021,7,21,17,Summer,86.0,
Cambridge,WI,dane,2021-07-21,43.0,-89.0,2021,7,21,1,Summer,68.0,70.166667
Kansas City,MO,jackson,2021-07-21,39.2,-94.5,2021,7,21,65,Summer,72.0,78.96875
Indianapolis,IN,hamilton,2021-07-21,39.7,-86.1,2021,7,21,4,Summer,92.0,
Brooklyn,NY,kings,2021-07-21,40.6,-74.0,2021,7,21,12,Summer,95.0,
Beverly,MA,essex,2021-07-21,42.5,-70.9,2021,7,21,2,Summer,57.0,71.208333
Owasso,OK,tulsa,2021-07-21,36.3,-95.9,2021,7,21,6,Summer,87.0,77.61845242857143
Omaha,NE,douglas,2021-07-21,41.3,-96.0,2021,7,21,95,Summer,71.0,77.808333
Solon,IA,johnson,2021-07-21,41.8,-91.5,2021,7,21,2,Summer,73.0,77.208333
Tulsa,OK,creek,2021-07-21,36.1,-96.0,2021,7,21,1,Summer,64.0,75.875
Eaton Rapids,MI,eaton,2021-07-21,42.5,-84.7,2021,7,21,13,Summer,,
Rochester,IN,fulton,2021-07-21,41.1,-86.2,2021,7,21,1,Summer,,
Kansas City,MO,platte,2021-07-21,39.2,-94.5,2021,7,21,50,Summer,,
Tulsa,OK,tulsa,2021-07-21,36.1,-96.0,2021,7,21,8,Summer,87.0,77.61845242857143
O Fallon,MO,saintcharles,2021-07-21,38.8,-90.7,2021,7,21,8,Summer,54.0,74.66666666666667
Omaha,NE,douglas,2021-07-21,41.2,-96.1,2021,7,21,38,Summer,71.0,77.808333
Broken Arrow,OK,wagoner,2021-07-21,36.1,-95.8,2021,7,21,2,Summer,,
Dallas,TX,dallas,2021-07-21,32.9,-96.8,2021,7,21,23,Summer,101.0,82.8416666
Arcade,NY,wyoming,2021-07-21,42.6,-78.4,2021,7,21,1,Summer,,
Dallas,TX,dallas,2021-07-21,32.8,-96.8,2021,7,21,23,Summer,101.0,82.8416666
Saint Louis,MO,saintlouis,2021-07-21,38.6,-90.4,2021,7,21,76,Summer,80.0,79.83712133333334
Indianapolis,IN,marion,2021-07-21,39.7,-86.1,2021,7,21,104,Summer,112.0,73.3125
Westpoint,IN,tippecanoe,2021-07-21,40.3,-87.0,2021,7,21,4,Summer,97.0,
Oklahoma City,OK,cleveland,2021-07-21,35.4,-97.3,2021,7,21,3,Summer,83.0,77.179167
Owasso,OK,tulsa,2021-07-21,36.3,-95.8,2021,7,21,2,Summer,87.0,77.61845242857143
Peoria,IL,peoria,2021-07-21,40.8,-89.6,2021,7,21,28,Summer,91.0,77.241667
Pass Christian,MS,harrison,2021-07-21,30.3,-89.2,2021,7,21,8,Summer,43.0,81.004167
Norman,OK,cleveland,2021-07-21,35.2,-97.4,2021,7,21,2,Summer,83.0,77.179167
Canton,OH,stark,2021-07-21,40.8,-81.4,2021,7,21,21,Summer,65.0,71.5875
Dallas,TX,collin,2021-07-21,32.9,-96.8,2021,7,21,2,Summer,64.0,80.395833
Richmond,MA,berkshire,2021-07-21,42.4,-73.4,2021,7,21,1,Summer,61.0,67.333333
Beachwood,OH,cuyahoga,2021-07-21,41.5,-81.5,2021,7,21,28,Summer,53.0,68.266667
Chapel Hill,NC,orange,2021-07-21,35.9,-79.1,2021,7,21,4,Summer,,
Brooksville,FL,hernando,2021-07-21,28.5,-82.5,2021,7,21,50,Summer,,
Belleville,KS,republic,2021-07-21,39.8,-97.6,2021,7,21,1,Summer,,
Palm Coast,FL,flagler,2021-07-21,29.6,-81.2,2021,7,21,2,Summer,27.0,
Lisle,IL,dupage,2021-07-21,41.8,-88.1,2021,7,21,3,Summer,71.0,
Omaha,NE,sarpy,2021-07-21,41.2,-96.1,2021,7,21,8,Summer,61.0,
Westhampton Beach,NY,suffolk,2021-07-21,40.8,-72.6,2021,7,21,14,Summer,85.0,
Kansas City,MO,clay,2021-07-21,39.2,-94.5,2021,7,21,105,Summer,64.0,75.25
Omaha,NE,sarpy,2021-07-21,41.3,-96.0,2021,7,21,20,Summer,61.0,
Canton,MI,wayne,2021-07-21,42.3,-83.5,2021,7,21,2,Summer,48.0,69.2625
Dallas,TX,collin,2021-07-21,32.8,-96.8,2021,7,21,2,Summer,64.0,80.395833
Norman,OK,cleveland,2021-07-21,35.2,-97.5,2021,7,21,2,Summer,83.0,77.179167
South Windsor,CT,hartford,2021-07-21,41.8,-72.5,2021,7,21,3,Summer,66.0,74.022645
Westfield,IN,hamilton,2021-07-21,40.0,-86.1,2021,7,21,2,Summer,92.0,
Oklahoma City,OK,oklahoma,2021-07-21,35.4,-97.3,2021,7,21,17,Summer,102.0,77.42395825
Pasadena,MD,annearundel,2021-07-21,39.1,-76.4,2021,7,21,4,Summer,61.0,79.125
Okatie,SC,beaufort,2021-07-21,32.3,-81.0,2021,7,21,5,Summer,,
New Bern,NC,craven,2021-07-21,35.1,-77.1,2021,7,21,2,Summer,,
Clayton,NC,johnston,2021-07-21,35.6,-78.3,2021,7,21,3,Summer,84.0,
Wyckoff,NJ,bergen,2021-07-21,41.0,-74.2,2021,7,21,1,Summer,85.0,
Bellefonte,PA,centre,2021-07-21,40.9,-77.8,2021,7,21,4,Summer,86.0,
Maybee,MI,monroe,2021-07-21,42.0,-83.5,2021,7,21,3,Summer,22.0,
Annapolis,MD,annearundel,2021-07-21,38.9,-76.5,2021,7,21,20,Summer,61.0,79.125
Cicero,IL,cook,2021-07-21,41.9,-87.8,2021,7,21,2,Summer,81.0,67.666667
Lawrence,MA,essex,2021-07-21,42.7,-71.2,2021,7,21,6,Summer,57.0,71.208333
